講座ID	講座名	学科分	実技分	うち税抜	うち税込	業者	よそ税込	学科/実技	出どころ	URL
dioxin	ダイオキシン類のばく露防止に係る業務に係る特別教育	240	0	5000	5500	中小建設業特別教育協会	9900	学科のみ	ページ	https://www.tokubetu.or.jp/online-price.html
zuidou	ずい道等の掘削等の作業に係る業務に係る特別教育	420	0	7000	7700	見つからず				
ev	電気自動車等の整備の業務に係る特別教育	360	60	7000	7700	建設業教育協会	4950	学科+実技（実技は事業所で別途）	ページ	https://k-k-k.jp/electriccar/
kouatsu	高圧・特別高圧電気取扱業務に係る特別教育	660	900	12000	13200	建設業教育協会	4950	学科+実技（操作業務限定・実技別途）	ページ	https://k-k-k.jp/highpressure/
kouatsu	高圧・特別高圧電気取扱業務に係る特別教育	660	900	12000	13200	CIC日本建設情報センター	13200		検索の抜粋	
fuseichi	不整地運搬車（最大積載量1トン未満）の運転の業務に係る特別教育	360	360	6000	6600	CIC日本建設情報センター	15400		検索の抜粋	
shovel	ショベルローダー等（最大荷重1トン未満）の運転の業務に係る特別教育	360	360	6000	6600	CIC日本建設情報センター（カード型）	10450		検索の抜粋	
kikaitoishi	機械研削用といしの取替え又は取替え時の試運転の業務に係る特別教育	420	180	7000	7700	見つからず				
kogata	小型車両系建設機械（整地・運搬・積込み用及び掘削用）の運転の業務に係る特別教育	420	360	7000	7700	安全・技能推進協会	11697	学科+実技（実技は事業者で別途）	ページ	https://sasp.jp/
sanketsu	酸素欠乏・硫化水素危険作業に係る業務に係る特別教育	330	0	5500	6050	中小建設業特別教育協会	9515	学科のみ	ページ	https://www.tokubetu.or.jp/online-price.html
sanketsu	酸素欠乏・硫化水素危険作業に係る業務に係る特別教育	330	0	5500	6050	東京技能講習協会	10000	学科のみ	ページ	https://www.tgkk.or.jp/koushu-ryoukin/
sanketsu	酸素欠乏・硫化水素危険作業に係る業務に係る特別教育	330	0	5500	6050	助太刀学院	10500	学科のみ	ページ	https://suke-dachi.jp/gakuin/oxygen/
sanketsu	酸素欠乏・硫化水素危険作業に係る業務に係る特別教育	330	0	5500	6050	安全・技能推進協会	10960	学科のみ	ページ	https://sasp.jp/
sanketsu	酸素欠乏・硫化水素危険作業に係る業務に係る特別教育	330	0	5500	6050	CIC日本建設情報センター	11550		検索の抜粋	
