講座ID,講座名,業者名,ページの商品名,税抜,税込,カード等の追加費用,学科のみ/学科+実技,確認日,URL
6,低圧の充電電路の敷設・修理又は一定の低圧開閉器操作の業務,一般社団法人 建設業教育協会,低圧電気取扱業務特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技1時間又は7時間を事業所で別途）,2026-09-07,https://k-k-k.jp/lowvoltage/
6,低圧の充電電路の敷設・修理又は一定の低圧開閉器操作の業務,助太刀学院,低圧電気取扱業務特別教育,未表示,11600,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科+実技（実技別途）,2026-09-07,https://suke-dachi.jp/gakuin/low-voltage-electrical-work/
7,電気自動車等の整備の業務,一般社団法人 建設業教育協会,電気自動車等の整備の業務に係る特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技は事業所で別途）,2026-09-07,https://k-k-k.jp/electriccar/
8,フォークリフト（最大荷重1トン未満）の運転の業務,一般社団法人 安全・技能推進協会,1トン未満のフォークリフトの運転業務に係る特別教育,9520,12030,"表示合計にはテキスト・送料等 2,510円を含む",学科+実技（実技は事業者で別途）,2026-09-07,https://sasp.jp/
8,フォークリフト（最大荷重1トン未満）の運転の業務,一般社団法人 建設業教育協会,フォークリフトの運転の業務に係る特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技6時間は事業所で別途）,2026-09-07,https://k-k-k.jp/forklift/
8,フォークリフト（最大荷重1トン未満）の運転の業務,助太刀学院,フォークリフト運転業務特別教育(1t未満),未表示,11600,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科+実技（実技6時間は事業者が別途）,2026-09-07,https://suke-dachi.jp/gakuin/forklift/
9,ショベルローダー等（最大荷重1トン未満）の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
10,不整地運搬車（最大積載量1トン未満）の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
11,テールゲートリフターの操作の業務,CIC日本建設情報センター,テールゲートリフター特別教育 WEB講座,10000,11000,"PDF修了証込み／カード型修了証は税込11,550円",学科+実技（学科4時間eラーニング、実技2時間は事業所で別途）,2026-09-07,https://www.cic-ct.co.jp/tailgate_lifter/
11,テールゲートリフターの操作の業務,グッドラーニング！,テールゲートリフター特別教育,未表示,22000,1事業者の年間契約者向け料金。1人単価ではない,学科+実技（eラーニング学科、実技は別途）,2026-09-07,https://promote.good-learning.jp/course/tailgate-lifter/
11,テールゲートリフターの操作の業務,一般社団法人 建設業教育協会,テールゲートリフター特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技2時間は事業所で別途）,2026-09-07,https://k-k-k.jp/tailgate/
11,テールゲートリフターの操作の業務,東京技能講習協会,テールゲートリフター特別教育（オンライン講習含む）,未表示,14000,テキスト代込み／カード等追加費用の記載なし,学科+実技（オンラインは学科4時間）,2026-09-07,https://www.tgkk.or.jp/koushu-ryoukin/
12,揚貨装置（制限荷重5トン未満）の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
13,伐木等機械の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
14,走行集材機械の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
15,機械集材装置の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
16,簡易架線集材装置の運転又は架線集材機械の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
17,チェーンソーを用いて行う立木の伐木、かかり木の処理又は造材の業務,一般社団法人 建設業教育協会,チェーンソーによる伐木等の業務に係る特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技は事業所で別途）,2026-09-07,https://k-k-k.jp/chainsaw/
18,小型車両系建設機械（整地・運搬・積込み用及び掘削用）の運転の業務,一般社団法人 安全・技能推進協会,小型車両系建設機械（整地・運搬・積込み用及び掘削用）特別教育,9660,11697,"表示合計にはテキスト・送料等 2,037円を含む",学科+実技（実技は事業者で別途）,2026-09-07,https://sasp.jp/
19,小型車両系建設機械（基礎工事用）の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
20,小型車両系建設機械（解体用）の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
21,基礎工事用建設機械の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
22,車両系建設機械（基礎工事用）の作業装置の操作の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
23,ローラーの運転の業務,一般社団法人 安全・技能推進協会,ローラー運転の業務に係る特別教育,9660,12071,"表示合計にはテキスト・送料等 2,411円を含む",学科+実技（実技は事業者で別途）,2026-09-07,https://sasp.jp/
24,コンクリート打設用機械の作業装置の操作の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
25,ボーリングマシンの運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
26,ジャッキ式つり上げ機械の調整又は運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
27,高所作業車（作業床高さ10メートル未満）の運転の業務,一般社団法人 安全・技能推進協会,高所作業車運転者特別教育,10500,12730,"表示合計にはテキスト・送料等 2,230円を含む",学科+実技（実技は事業者で別途）,2026-09-07,https://sasp.jp/
27,高所作業車（作業床高さ10メートル未満）の運転の業務,助太刀学院,高所作業車運転業務に関わる特別教育(高さ10m未満),未表示,10500,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科+実技（実技3時間は事業者が別途）,2026-09-07,https://suke-dachi.jp/gakuin/aerial-work-vehicle/
28,巻上げ機の運転の業務,一般社団法人 建設業教育協会,巻上げ機特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技4時間は事業所で別途）,2026-09-07,https://k-k-k.jp/hoisting/
29,軌道装置の動力車の運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
30,小型ボイラー取扱業務,一般社団法人 建設業教育協会,小型ボイラー取扱業務特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技は事業所で別途）,2026-09-07,https://k-k-k.jp/smallboiler/
31,つり上げ荷重5トン未満のクレーンの運転の業務,一般社団法人 安全・技能推進協会,クレーンの運転の業務に係る特別教育,9660,12225,"表示合計にはテキスト・送料等 2,565円を含む",学科+実技（実技は事業者で別途）,2026-09-07,https://sasp.jp/
32,跨線テルハでつり上げ荷重5トン以上のものの運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
33,つり上げ荷重1トン未満の移動式クレーンの運転の業務,一般社団法人 建設業教育協会,移動式クレーン特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技4時間は事業所で別途）,2026-09-07,https://k-k-k.jp/crane/
34,つり上げ荷重5トン未満のデリックの運転の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
35,建設用リフトの運転の業務,一般社団法人 建設業教育協会,建設用リフトの運転の業務に係る特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技は事業所で別途）,2026-09-07,https://k-k-k.jp/constructionlift/
36,つり上げ荷重1トン未満のクレーン等の玉掛けの業務,一般社団法人 安全・技能推進協会,玉掛けの業務に係る特別教育,9660,12225,"表示合計にはテキスト・送料等 2,565円を含む",学科+実技（実技は事業者で別途）,2026-09-07,https://sasp.jp/
36,つり上げ荷重1トン未満のクレーン等の玉掛けの業務,一般社団法人 建設業教育協会,玉掛け特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技4時間は事業所で別途）,2026-09-07,https://k-k-k.jp/slinging/
36,つり上げ荷重1トン未満のクレーン等の玉掛けの業務,助太刀学院,玉掛け特別教育,未表示,11600,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科+実技（実技4時間は事業者が別途）,2026-09-07,https://suke-dachi.jp/gakuin/sling/
37,ゴンドラの操作の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
38,作業室及び気こう室へ送気するための空気圧縮機を運転する業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
39,作業室への送気調節用バルブ又はコックを操作する業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
40,気こう室への送気又は排気調節用バルブ又はコックを操作する業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
41,潜水作業者への送気調節用バルブ又はコックを操作する業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
42,高圧室内作業に係る業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
43,四アルキル鉛等に係る業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
44,第1種酸素欠乏危険作業に係る業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
45,第2種酸素欠乏危険作業に係る業務,一般社団法人 安全・技能推進協会,酸素欠乏・硫化水素危険作業特別教育,9000,10960,"表示合計にはテキスト・送料等 1,960円を含む",学科のみ,2026-09-07,https://sasp.jp/
45,第2種酸素欠乏危険作業に係る業務,一般財団法人 中小建設業特別教育協会,酸素欠乏・硫化水素危険作業特別教育 WEB講習,8650,9515,カード追加費用の記載なし／振込手数料は利用者負担,学科のみ,2026-09-07,https://www.tokubetu.or.jp/online-price.html
45,第2種酸素欠乏危険作業に係る業務,助太刀学院,酸素欠乏・硫化水素危険作業特別教育,未表示,10500,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科のみ,2026-09-07,https://suke-dachi.jp/gakuin/oxygen/
45,第2種酸素欠乏危険作業に係る業務,東京技能講習協会,酸素欠乏・硫化水素危険作業特別教育（オンライン講習含む）,未表示,10000,テキスト代込み／カード等追加費用の記載なし,学科のみ,2026-09-07,https://www.tgkk.or.jp/koushu-ryoukin/
46,特殊化学設備の取扱い、整備及び修理の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
47,エックス線装置又はガンマ線照射装置を取り扱う業務,一般社団法人 建設業教育協会,エックス線装置及びガンマ線照射装置取扱業務特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科のみ,2026-09-07,https://k-k-k.jp/x-raymachine/
48,加工施設等において核燃料物質等を取り扱う業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
49,原子炉施設等において核燃料物質等を取り扱う業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
50,事故由来放射性物質により汚染されたものの処分の業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
51,電離則に定める特例緊急作業に係る業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
52,特定粉じん作業に係る業務,助太刀学院,粉じん作業特別教育(Web講習),未表示,10500,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科のみ,2026-09-07,https://suke-dachi.jp/gakuin/dust/
52,特定粉じん作業に係る業務,東京技能講習協会,粉じん作業特別教育（オンライン講習含む）,未表示,10000,テキスト代込み／カード等追加費用の記載なし,学科のみ,2026-09-07,https://www.tgkk.or.jp/koushu-ryoukin/
53,ずい道等の掘削等の作業に係る業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
54,産業用ロボットの可動範囲内で教示等を行う業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
55,産業用ロボットの可動範囲内で検査等を行う業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
56,自動車用タイヤの組立てに係る空気充てんの業務,一般社団法人 建設業教育協会,タイヤ空気充てん特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技4時間は事業所で別途）,2026-09-07,https://k-k-k.jp/tireair/
57,ダイオキシン類：焼却施設におけるばいじん・焼却灰等取扱い業務,一般社団法人 建設業教育協会,廃棄物焼却施設業務（ダイオキシン類）特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科のみ,2026-09-07,https://k-k-k.jp/wastematter/
57,ダイオキシン類：焼却施設におけるばいじん・焼却灰等取扱い業務,一般財団法人 中小建設業特別教育協会,ダイオキシン類作業従事者特別教育 WEB講習,9000,9900,カード追加費用の記載なし／振込手数料は利用者負担,学科のみ,2026-09-07,https://www.tokubetu.or.jp/online-price.html
58,ダイオキシン類：廃棄物焼却炉・集じん機等の保守点検等の業務,一般社団法人 建設業教育協会,廃棄物焼却施設業務（ダイオキシン類）特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科のみ,2026-09-07,https://k-k-k.jp/wastematter/
58,ダイオキシン類：廃棄物焼却炉・集じん機等の保守点検等の業務,一般財団法人 中小建設業特別教育協会,ダイオキシン類作業従事者特別教育 WEB講習,9000,9900,カード追加費用の記載なし／振込手数料は利用者負担,学科のみ,2026-09-07,https://www.tokubetu.or.jp/online-price.html
59,ダイオキシン類：廃棄物焼却炉等の解体等及び燃え殻取扱い業務,一般社団法人 建設業教育協会,廃棄物焼却施設業務（ダイオキシン類）特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科のみ,2026-09-07,https://k-k-k.jp/wastematter/
59,ダイオキシン類：廃棄物焼却炉等の解体等及び燃え殻取扱い業務,一般財団法人 中小建設業特別教育協会,ダイオキシン類作業従事者特別教育 WEB講習,9000,9900,カード追加費用の記載なし／振込手数料は利用者負担,学科のみ,2026-09-07,https://www.tokubetu.or.jp/online-price.html
60,石綿使用建築物等の解体・破砕等の作業に係る業務,一般財団法人 中小建設業特別教育協会,石綿取扱い作業従事者特別教育 WEB講習,7750,8525,カード追加費用の記載なし／振込手数料は利用者負担,学科のみ,2026-09-07,https://www.tokubetu.or.jp/online-price.html
60,石綿使用建築物等の解体・破砕等の作業に係る業務,助太刀学院,石綿取扱い作業従事者特別教育,未表示,10500,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科のみ,2026-09-07,https://suke-dachi.jp/gakuin/asbestos/
60,石綿使用建築物等の解体・破砕等の作業に係る業務,東京技能講習協会,石綿作業従事者特別教育（オンライン講習含む）,未表示,10000,テキスト代込み／カード等追加費用の記載なし,学科のみ,2026-09-07,https://www.tgkk.or.jp/koushu-ryoukin/
61,除染等業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
62,特定線量下業務,eラーニング提供確認できず,今回の公開Web調査では価格付きeラーニング提供を確認できず,,,,,2026-09-07,
63,足場の組立て、解体又は変更の作業に係る業務,一般財団法人 中小建設業特別教育協会,足場の組立て等特別教育 WEB講習,9550,10505,カード追加費用の記載なし／振込手数料は利用者負担,学科のみ,2026-09-07,https://www.tokubetu.or.jp/online-price.html
63,足場の組立て、解体又は変更の作業に係る業務,助太刀学院,足場の組立て等作業従事者特別教育,未表示,9400,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科のみ,2026-09-07,https://suke-dachi.jp/gakuin/scaffold/
63,足場の組立て、解体又は変更の作業に係る業務,東京技能講習協会,足場特別教育（オンライン講習含む）,未表示,11000,テキスト代込み／カード等追加費用の記載なし,学科のみ,2026-09-07,https://www.tgkk.or.jp/koushu-ryoukin/
64,ロープ高所作業に係る業務,一般社団法人 建設業教育協会,ロープ高所作業特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技3時間は事業所で別途）,2026-09-07,https://k-k-k.jp/ropehighplaces/
65,フルハーネス型墜落制止用器具を用いて行う作業に係る業務,一般社団法人 安全・技能推進協会,フルハーネス型墜落制止用器具特別教育,7590,9396,"表示合計にはテキスト・送料等 1,806円を含む",学科+実技（実技は事業者で別途）,2026-09-07,https://sasp.jp/
65,フルハーネス型墜落制止用器具を用いて行う作業に係る業務,一般社団法人 建設業教育協会,フルハーネス特別教育 Eラーニング,4500,4950,振込手数料は利用者負担／クレジットカード追加費用の記載なし,学科+実技（実技1.5時間は事業所で別途）,2026-09-07,https://k-k-k.jp/fullharness/
65,フルハーネス型墜落制止用器具を用いて行う作業に係る業務,一般財団法人 中小建設業特別教育協会,フルハーネス型墜落制止用器具特別教育 WEB講習,9550,10505,カード追加費用の記載なし／振込手数料は利用者負担,学科+実技（実技別途）,2026-09-07,https://www.tokubetu.or.jp/online-price.html
65,フルハーネス型墜落制止用器具を用いて行う作業に係る業務,助太刀学院,フルハーネス型墜落制止用器具特別教育,未表示,9400,"PDF+プラカード型は通常価格+1,100円／カード決済追加費用の記載なし",学科+実技（実技1.5時間は事業者が別途）,2026-09-07,https://suke-dachi.jp/gakuin/full-harness/
65,フルハーネス型墜落制止用器具を用いて行う作業に係る業務,東京技能講習協会,フルハーネス特別教育（オンライン講習含む）,未表示,11000,テキスト代込み／カード等追加費用の記載なし,学科+実技（オンラインは学科4.5時間）,2026-09-07,https://www.tgkk.or.jp/koushu-ryoukin/
